Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
2/3;2/3;[[0,0],[1,0],[3,4],[2,1],[1,7],[3,9],[0,5]]
2/3;2/3;[[0,0],[1,0],[1,10],[0,8],[2,10],[2,11],[-1,4],[-1,5]]
3/10;3/8;[[0,0],[1,0],[1,3],[6,6],[6,2]]
1/2;1/2;[[0,0],[1,0],[10,13],[2,1],[12,14],[9,10],[14,17]]
2/5;2/5;[[0,0],[2,0],[4,5],[1,-2],[-2,-3],[-4,-8],[-3,-5],[-1,-5]]
1/3;2/5;[[0,0],[1,0],[0,6],[3,5],[-2,3],[3,6]]
1/3;2/5;[[0,0],[1,0],[4,10],[0,1],[3,9],[5,10],[4,6],[3,3]]
2/3;2/3;[[0,0],[2,0],[0,1],[13,2],[11,3],[17,3]]
10/47;2/5;[[0,0],[1,0],[4,15],[-3,-16],[-1,-9],[4,14]]
5/18;2/5;[[0,0],[1,0],[8,11],[8,9],[13,17],[14,18]]
1/2;1/2;[[0,0],[1,0],[0,2],[9,3],[-4,1],[10,4],[11,4]]
1/3;1/2;[[0,0],[2,0],[0,6],[-1,5],[3,4],[3,6]]
2/3;2/3;[[0,0],[3,0],[0,1],[17,2],[20,3],[21,3]]
6/23;2/5;[[0,0],[1,0],[14,23],[9,13]]
2/7;2/5;[[0,0],[1,0],[0,7],[-1,7],[4,3]]
13/77;2/5;[[0,0],[1,0],[7,10],[9,11],[3,1]]
22/91;2/5;[[0,0],[1,0],[10,13],[5,3]]
14/33;2/3;[[0,0],[1,0],[9,19],[11,22],[14,29]]
1/2;1/2;[[0,0],[1,0],[1,3],[-3,4],[-3,1],[-1,6],[0,6]]
23/85;2/5;[[0,0],[1,0],[2,8],[5,15],[-3,-13]]
1/3;1/2;[[0,0],[1,0],[5,12],[5,9],[3,8],[7,15],[8,16]]
2/5;2/5;[[0,0],[1,0],[4,5],[-8,-11],[16,19],[17,20]]
1/2;1/2;[[0,0],[3,0],[0,1],[5,1],[3,4],[8,4]]
1/2;1/2;[[0,0],[2,0],[2,4],[3,3],[-2,1],[-3,3],[-3,4]]
1/3;2/5;[[0,0],[1,0],[0,1],[6,8],[4,8],[6,6]]
